"0","test@gmail.com","hi","pbkdf2:sha256:260000$vjkcycAXBGltAKS0$6ddf20a0edd68443661dd21d91411e0cd0759a747da79558a8be56dd41d77d81","Joey","Shmoey","52.34"
"1","tac69@duke.edu","hi","pbkdf2:sha256:260000$lC0F3PHrCjIZGfl1$0d360402095d987cb1d1cb808bdc818a706073d0169a37e1598b0b59cca3a213","Thomas","Colicchio","11.21"
"2","dhp14@duke.edu","hi","pbkdf2:sha256:260000$SPB1LElPaezTH5sF$076155399da67b4c7c5541520403e4746ee2f4788ddaad9bcce268eb99bdd930","Dylan","Paul","99.85"
"3","cg@duke.edu","hi","pbkdf2:sha256:260000$BuQVTPfXDS0OFW4z$0c5c0b5bfbe27cddb6a23b4d5791bba2c9db3abff301e93c1204e81de9b5534d","Christian","Garvin","96.24"
"4","ig@duke.edu","hi","pbkdf2:sha256:260000$yqA6HqBaNz8mhp4I$2d36d24aa75db55e48b5a61cb2888f4d7c11792e380e1f8f332565a59abcd5d3","Isabella","Geraci","15.21"
"5","am@duke.edu","hi","pbkdf2:sha256:260000$YtqVAixGyvQQne4R$2057414c37fb06ebe54f548f3b2038c1e1f94930bf609707cb229c50b0d89322","Alex","Medow","10.12"
"6","eric22@gmail.com","45602 Phillip Squares
East Robertside, WA 19150","pbkdf2:sha256:260000$VsHbDYu9yroKXyJK$078e0fbf034a1712525941da66ba1284e542d730f09e882000f53187427127c7","Melissa","Cantu","75.54"
"7","bramirez@gmail.com","46896 Garcia Glen
Justinborough, CO 05147","pbkdf2:sha256:260000$fbPgERKqz3Aw1Bxc$2662845c10c2805f8e074f166d01e1505e212886eb64725aca99584f0eed5b07","Michael","Montgomery","9.33"
"8","yroman@hotmail.com","90603 Monica Lakes Apt. 239
Cheyennehaven, LA 46778","pbkdf2:sha256:260000$gIlxk3oGbTwoKqyq$ef55444af73cb4bb0d49296b805dff88ddd45b3377f687adda0a17f742347c4c","Andrew","Oliver","52.58"
"9","nhenson@yahoo.com","602 Tracy Crossroad Suite 556
New Rachelside, ID 93702","pbkdf2:sha256:260000$RSuobuyYqrRcQKce$c61b0a6eba4bc550c6a8ff58ce30584aec02ff3ec8572c813c8623dc839b9855","Kristen","Smith","37.99"
"10","jensenanthony@hotmail.com","38277 Padilla Common Suite 296
Port Leslie, MS 08257","pbkdf2:sha256:260000$Xil9r9kALmcJvMdA$aaf5bc1187d5ebc903120dae0d1addbd407362bb982421a572f17c6f729234cc","Mark","Burnett","26.04"
"11","jennifersimmons@hotmail.com","299 Johnny Valley Suite 007
West Kellyberg, IA 67011","pbkdf2:sha256:260000$ViKVXv9GbDefUrhJ$34d45ef347f4bf8c49dc5d60737baf047857bdba8ff3177d43b57c19532d2675","Cassandra","Murphy","45.20"
"12","stephanie28@gmail.com","188 Fischer Grove
Justinchester, VT 37258","pbkdf2:sha256:260000$N35mKetEoct8khOh$dd60ccb1f05b95525009e0c2b4f4e7ec1d003741ccd84684328d96a9e9a4bb8f","Amber","Moore","33.68"
"13","mark06@yahoo.com","550 James Creek
Williamstown, MO 16920","pbkdf2:sha256:260000$UfIVw7P10v5HAPUz$97d81c1bda01537ab64bc928e41862e2a7f47b4bb6b4f796a68c70c9675db7f9","David","Macias","97.81"
"14","gutierrezbryan@yahoo.com","251 Brown Knoll
Emilyshire, NH 54532","pbkdf2:sha256:260000$wOsIvDje5tgyTzUG$db89dcc732025f1b9fad84e4aa4941761709e5ca410673e0817ee555090039f3","Kelly","Mckinney","23.03"
"15","andrewholloway@hotmail.com","922 French Manor
Bradleymouth, IA 18566","pbkdf2:sha256:260000$eMJfDsBzDxQ0JZQy$01efaf29c6c01c2c614ece7207f72fdf4834e77337daba3b02c8b0e5e25d9c70","John","Barron","46.65"
"16","gonzalezsusan@gmail.com","0486 Evelyn Grove Suite 352
North Christie, AK 56937","pbkdf2:sha256:260000$sahzo0pJ7MB2kqqW$7a1f044e318e82dbc69baf14c512e2f0c3cb6f95e137f6d0def7b5fb6dd727f5","Sarah","Thomas","73.50"
"17","deleonwilliam@gmail.com","693 Erickson Lodge
Andrewberg, MS 22958","pbkdf2:sha256:260000$c1OEApmEwsV5MBiE$b99a804aad74d95c680301656ef41d5b36e75b47fba3feea257a34be51ecec1c","Maria","Harris","56.72"
"18","simpsonstacey@hotmail.com","635 Valencia Drive Apt. 437
Justinberg, WI 16158","pbkdf2:sha256:260000$xH4Ed7LeiBjV2AwF$b750f72d25c942fa8889668f129bfdcfb6eddffc2e06e2c25577a4000f513958","Charles","Shields","51.45"
"19","meyerchristine@yahoo.com","66706 Patrick Track
New Stephanietown, MI 92756","pbkdf2:sha256:260000$SviGXseFyTfErMZU$602ffff1912cfaa3bfe3271e71178407c1439fd1205067ce68afa7d1e841e2e8","Aimee","Nichols","47.43"
"20","lopezsarah@hotmail.com","50592 Myers Field
Crawfordburgh, AR 44929","pbkdf2:sha256:260000$xnuP1uOkrKxvGjG8$8f446b5a885f9fc7f4ac52673aee823e931b97e844c7f90887957fed2c4f38d5","Karen","Perez","97.87"
"21","janet06@gmail.com","302 Parker Plains Apt. 197
East Robertstad, CO 98152","pbkdf2:sha256:260000$2YLjx8bAz4DpuQoJ$3670f2b7ae4432c5ed55bca7ee5b12c99368ad3e27006970fe5c0e78792b5f47","Mark","Mitchell","2.98"
"22","martintyler@gmail.com","51986 John Cove Apt. 927
New Marybury, CT 73611","pbkdf2:sha256:260000$NPKtsNXe3wwYm5sG$d51d6614c5e84d2eedb8765955c9c3c69b3d1115033dbf3e149a688393daee69","Timothy","Anderson","90.27"
