"0","tamaramorrison@hotmail.com","9342 Lori Bypass Suite 711
East Sandra, CO 92162","pbkdf2:sha256:260000$L6yGEqD5tmGtNvYW$28b07ae397073f44fe3501014d66a6fbdbbcbf4f8a54d876cfa92b4720114068","Gary","Cross","69.87"
"1","carlsonholly@yahoo.com","230 Megan Junctions Suite 197
North Thomas, OK 67164","pbkdf2:sha256:260000$EtNWDsdPuhulHqga$1128d49ed3fb18ad13b5f5028d9706b9128caa5a4481bcb7fe32c38b5fccd8dc","Tracy","Robbins","39.83"
"2","bairdemma@hotmail.com","4217 Burton Brooks
Robinville, KS 17988","pbkdf2:sha256:260000$kGkw7LywURhHJ0cK$33ce9b71087951c607ed4fd7b271e9fa46d85c7eabf6811995e2afb70f6f556d","Anthony","Carson","83.66"
"3","zsmith@hotmail.com","361 Robinson Green Apt. 635
North Lynntown, NC 59694","pbkdf2:sha256:260000$Bq6EfZXYeXbWIL72$de23f781a5f011c378fa0de15c2a64ef922752f778c48aa9df6699f177462d84","Sara","Evans","96.86"
"4","berryerika@hotmail.com","634 Petersen Orchard
Lawsonbury, AK 86613","pbkdf2:sha256:260000$bk2h8wEVG9CHcSsH$a7f14ee1c0f861de80b35e7ef79dd8a290b53c2f3044f5fb817816401319d457","Charles","Scott","0.94"
"5","debra94@gmail.com","306 Watson Field
Kellyland, AZ 64223","pbkdf2:sha256:260000$Agc5uKbdG8xKFOO6$e29041bb5eb0a6adc26568ecfa6affa169f7e71b74ffbe665dfacb0b7ba2d6f3","John","Ellis","32.03"
"6","eric22@gmail.com","45602 Phillip Squares
East Robertside, WA 19150","pbkdf2:sha256:260000$oXEnO6bWydiqkmMF$45255d4e4f84a40b8bc1a8a556ee8975b33ba3756cf87565772b8b330d0914ce","Melissa","Cantu","75.54"
"7","bramirez@gmail.com","46896 Garcia Glen
Justinborough, CO 05147","pbkdf2:sha256:260000$I8oSQLNXoAg9hNhx$c9d1e023aa9f7511b5fc08f16a10d310bc2c4c5d1a96eec1595aff0567571b14","Michael","Montgomery","9.33"
"8","yroman@hotmail.com","90603 Monica Lakes Apt. 239
Cheyennehaven, LA 46778","pbkdf2:sha256:260000$Zuqp34k6ttTwLpkW$eb4d0f90b53cd88a6537f5f321af3636a6514e91cabf22da3fd5fa58ad450660","Andrew","Oliver","52.58"
"9","nhenson@yahoo.com","602 Tracy Crossroad Suite 556
New Rachelside, ID 93702","pbkdf2:sha256:260000$PO2KfCdVnJ0OFAf8$d7aa5c5559b45d6dad26a5c2924257be9731bef14cd6957f0e3d27d4b7c8f075","Kristen","Smith","37.99"
"10","jensenanthony@hotmail.com","38277 Padilla Common Suite 296
Port Leslie, MS 08257","pbkdf2:sha256:260000$asDmOmwnkWKrlKRd$034feea21c3419705766b6b533ca5971ae84c16812070e3fbfa8fcb54ce75fd9","Mark","Burnett","26.04"
"11","jennifersimmons@hotmail.com","299 Johnny Valley Suite 007
West Kellyberg, IA 67011","pbkdf2:sha256:260000$osDCkEGBzhSpz0yK$74c3d775940f695b8b86997851bacab0e32def2a1a95d8ed7887d9e11b0f7aa2","Cassandra","Murphy","45.20"
"12","stephanie28@gmail.com","188 Fischer Grove
Justinchester, VT 37258","pbkdf2:sha256:260000$oJnQtzwpAY4JPlev$d704064aad022f3022832c82f8b2ba168245010fbcdf11fc5dba76f0abbea0c0","Amber","Moore","33.68"
"13","mark06@yahoo.com","550 James Creek
Williamstown, MO 16920","pbkdf2:sha256:260000$xaA6anj5pgTNdTNK$2b442ebdeb5c2ef7321770f64d2cc79cc40e7a3aff1cd32bbbabff0bfd56526e","David","Macias","97.81"
"14","gutierrezbryan@yahoo.com","251 Brown Knoll
Emilyshire, NH 54532","pbkdf2:sha256:260000$PXPCiBaEHNNUIQ0m$83ab0a78cdcf9b02a998d7bf3cb9b073b50f2ec8a8ceb94246bb7f45590a68a8","Kelly","Mckinney","23.03"
"15","andrewholloway@hotmail.com","922 French Manor
Bradleymouth, IA 18566","pbkdf2:sha256:260000$WaO0by8I7mQm0oWe$deba3493284cc33c8e3eaab294352d56e681b68e4448c77dfe91872f1c270e30","John","Barron","46.65"
"16","gonzalezsusan@gmail.com","0486 Evelyn Grove Suite 352
North Christie, AK 56937","pbkdf2:sha256:260000$3Ic44MRAX7zxiBvN$429144f505c56a5242d498d3424cb5cde8ee128b7c704eab88acc18f9f2073ec","Sarah","Thomas","73.50"
"17","deleonwilliam@gmail.com","693 Erickson Lodge
Andrewberg, MS 22958","pbkdf2:sha256:260000$VZKryPgJI12L2pOJ$af02d7c5df3f3550c04cae64b9446dddbc7c5f9b7997f49646bc13ec55edfbcd","Maria","Harris","56.72"
"18","simpsonstacey@hotmail.com","635 Valencia Drive Apt. 437
Justinberg, WI 16158","pbkdf2:sha256:260000$pIK4xDyK0Htj2kbm$293e6e585004695d0e1ffcbfa2ae8ef8237ace79ad8ad69f35d49d8dd2e8037b","Charles","Shields","51.45"
"19","meyerchristine@yahoo.com","66706 Patrick Track
New Stephanietown, MI 92756","pbkdf2:sha256:260000$Lo7cnDK3RCqe4jPY$0acce23410173dcb3bb58eca9685a32eae530f4e8c3e7c6bfd6f58c970eeea14","Aimee","Nichols","47.43"
"20","lopezsarah@hotmail.com","50592 Myers Field
Crawfordburgh, AR 44929","pbkdf2:sha256:260000$rfXOFTabJCRE47G3$db3fd95cbd9019cdce65cc72f327fefe6d733bff1ffe37967dc1b7ffe958f1e1","Karen","Perez","97.87"
"21","janet06@gmail.com","302 Parker Plains Apt. 197
East Robertstad, CO 98152","pbkdf2:sha256:260000$3QIjlP5Oy5mNTy5g$e9582d3ea5712dd54e08e0ac5dd6797d099866e15efd40634d0ceb5ac8cca2bf","Mark","Mitchell","2.98"
"22","martintyler@gmail.com","51986 John Cove Apt. 927
New Marybury, CT 73611","pbkdf2:sha256:260000$PlVS3Y75SWPxlCeS$47a3f5097f20bb65f0a124d4a42b8ce7850b0f9140eead1e1434b7fe279e3526","Timothy","Anderson","90.27"
